"Sélection Nationale 3 - Rabodanges - 2004-03-28","Course 1","2004-03-28","Nationale 3","173"
"Olivier Cornu","K1H","280.82","469","550",""
"Rideray Vincent","K1H","281.59","525","555",""
"Jeanne Vincent","K1H","282.35","701","559",""
"Ansquer Guy","K1H","282.46","503","560",""
"Ludovic Garnier","K1H","284.73","540","571",""
"Friquet Arnaud","K1H","285.12","451","574",""
"Mercier Remi","K1H","286.19","675","580",""
"Corbeau Benjamin","K1H","286.32","548","580",""
"Le Garrec Julien","K1H","288.00","385","589",""
"Ludovic Gloaguen","K1H","288.29","296","590",""
"Benjamin Dolbecq","K1H","288.41","601","591",""
"Chemineau Frederic","K1H","289.18","459","595",""
"Nicolas Romain","K1H","289.82","587","599",""
"Launay Emmanuel","K1H","295.45","617","629",""
"Olivier Roussel","K1H","296.06","306","632",""
"Didier Niel","K1H","297.21","381","638",""
"Sebastien Masseline","K1H","297.41","518","639",""
"Jeansebastien Simonklein","K1H","304.40","298","676",""
"Colombert Yann","K1H","313.85","425","726",""
"Legout Kevin","K1H","314.32","424","729",""
"Despre Philippe","K1H","328.07","589","803",""
"Benard Fabien","K1H","330.07","432","813",""
"Arthur Feraud","K1H","331.72","532","822",""
"Hamou Charles-Elie","K1H","339.39","557","863",""
"Simon Bonnet","K1H","340.76","686","870",""
"Roussin Michel","K1H","340.91","722","871",""
"Leyoudec Florent","K1H","342.66","497","881",""
"Lebar Johnny","K1H","343.13","573","882",""
"Morvan Antoine","K1H","357.46","388","959",""
"Froger Alexandre","K1H","361.25","759","980",""
"Melaine Caurant","K1H","363.12","656","989",""
"Anthony Mottais","K1H","372.19","676","1038",""
"Guillaume Scire","K1H","382.22","614","1092",""
"Sinquin Gwenael","K1H","384.93","476","1106",""
"Morin Thomas","K1H","393.49","629","1151",""
"Alexandre Rivolet","K1H","437.30","663","1385",""
"Emmanuel Despont","K1H","462.55","731","1519",""
"Joris Rocher","K1H","504.76","607","1744",""
