"Sélectif Championnat Nationale 2 - Metz - Finale - 2014-05-04","Finale","2014-05-04","Nationale 2","142"
"Anthony Thuillier","K1H","101.46","118.83","184.68","Finale A"
"Antoine Gaillard","K1H","102.67","145.42","197.98","Finale A"
"Laurent Starck","K1H","102.69","146.71","198.2","Finale A"
"Alexis Pernelle","K1H","102.82","142.11","199.63","Finale A"
"Nicolas Coudert","K1H","102.99","114","201.5","Finale A"
"Xavier Jourdain","K1H","103.96","107.17","212.17","Finale A"
"Simon Despres","K1H","104.37","177.26","216.68","Finale A"
"Robin Pilard","K1H","104.45","165.34","217.56","Finale A"
"Luc Hellard","K1H","108.62","174.07","263.41","Finale A"
"Anthony Mottais","K1H","114.37","109.69","326.64","Finale A"
"Enzo Seker","K1H","145.28","120.72","666.52","Finale A"
"Antonin Elne","K1H","152.7","109.06","748.11","Finale A"
"Charles Edouard Dherment","K1H","156.58","121.69","790.77","Finale A"
"Julien Haberland","K1H","157.23","180.24","797.92","Finale A"
"Jerome Olhagaray","K1H","Nt","-","-","Finale A"
"Paul Brier","K1H","Nt","-","-","Finale A"
"Azenor Philip","C1D","130.14","314.92","266.54","Finale B"
"Manon Durand","C1D","148.41","351.86","433.95","Finale B"
"Marjorie Delassus","C1D","202.95","344.89","933.72","Finale B"
"Tom Maffeis","C1H","108.08","210.06","205.88","Finale B"
"Philippe Thevenin","C1H","110.97","194.47","236.15","Finale B"
"Jerome Lacire","C1H","112.32","258.88","250.28","Finale B"
"Bertrand Gutierrez","C1H","112.64","193","253.63","Finale B"
"Charles Dampeyrou","C1H","112.96","156.4","256.99","Finale B"
"Quentin Moreaux","C1H","113.62","222.77","263.9","Finale B"
"Mathieu Dutendas","C1H","115.71","218.95","285.78","Finale B"
"Martin Rohaut","C1H","116.67","250.66","295.83","Finale B"
"Xavier Jourdain","C1H","117.28","233.62","302.22","Finale B"
"Alexandre Lismonde","C1H","118.58","-","315.84","Finale B"
"Pierre Marie Roussel","C1H","126.26","230.21","396.27","Finale B"
"Julian Othenin-girard-Anice Benhacine","C2H","117.37","206.61","247.3","Finale B"
"Axel Kournwsky-Adrien Maire","C2H","118.49","263.21","258.49","Finale B"
"Stephane Broute-Xavier Jourdain","C2H","120.2","223.88","275.59","Finale B"
"Claude Menissier-Gerard Menissier","C2H","129.22","318.96","365.76","Finale B"
"Armand Rakowski-Emmanuel Sarazin","C2H","153.08","-","604.27","Finale B"
"Emeline Oudet","K1D","115.37","153.01","196.68","Finale B"
"Camille Fontaine","K1D","115.71","208.33","199.99","Finale B"
"Oceane Vienet","K1D","117.08","160.38","213.33","Finale B"
"Anna Wider","K1D","117.93","293.8","221.6","Finale B"
"Sarah Lyphout","K1D","119.15","170.71","233.47","Finale B"
"Lea Martin","K1D","119.77","259.63","239.5","Finale B"
"Lisa Robin","K1D","120.93","243.74","250.79","Finale B"
"Alicia Gallot","K1D","122.52","278.3","266.27","Finale B"
"Laura Rocher","K1D","123.44","213.88","275.22","Finale B"
"Azenor Philip","K1D","124.13","253","281.94","Finale B"
"Emilie Lhomme","K1D","124.53","229.61","285.83","Finale B"
"Emilie Delahaye","K1D","127.24","255.14","312.2","Finale B"
"Lea Feuillard","K1D","128.51","295.35","324.56","Finale B"
"Caroline Scherer","K1D","129.72","346.38","336.32","Finale B"
"Sarah Michel","K1D","133.5","275.35","373.11","Finale B"
"Leonie Gachon","K1D","138.03","276.96","417.18","Finale B"
"Laurine Grandadam","K1D","138.53","284.62","422.06","Finale B"
"Stephanie Bender","K1D","146.1","287.29","495.72","Finale B"
"Cedric Jegouzo","K1H","95.69","103.44","126.23","Finale B"
"Jules Guilbaud","K1H","97.71","169.43","148.44","Finale B"
"Adrien Maire","K1H","98.21","158.74","153.94","Finale B"
"Stephane Broute","K1H","98.83","162.78","160.76","Finale B"
"Maxence Grandadam","K1H","99.65","213.74","169.78","Finale B"
"Pascal Ferry","K1H","99.98","152.32","173.41","Finale B"
"Quentin Moreaux","K1H","100.41","137.43","178.13","Finale B"
"Leo Fournier","K1H","101.43","184.38","189.35","Finale B"
"Sebastien Nouvel","K1H","101.61","158.23","191.33","Finale B"
"Axel Kournwsky","K1H","102.35","223.8","199.47","Finale B"
"Etienne Carpentier","K1H","102.37","171.02","199.69","Finale B"
"Boris Pernelle","K1H","103.01","134.91","206.72","Finale B"
"Lucas Ferraina","K1H","103.1","205.46","207.71","Finale B"
"Valentin Vibert","K1H","105.04","155.22","229.04","Finale B"
"Julien Fougeron","K1H","105.22","219.46","231.02","Finale B"
"Matthieu Basset","K1H","105.49","194.53","233.99","Finale B"
"Tom Barthelemy","K1H","105.65","235.62","235.75","Finale B"
"Emmanuel Sarazin","K1H","105.67","142.83","235.97","Finale B"
"Arnaud Gallois","K1H","105.68","159.19","236.08","Finale B"
"Thibaut Chariot","K1H","106.8","220.53","248.4","Finale B"
"Tristan Bronsard","K1H","107.45","173.06","255.54","Finale B"
"Tristan Lejot","K1H","107.87","207.94","260.16","Finale B"
"Vincent Dubois","K1H","107.9","179.15","260.49","Finale B"
"Malo Le Paih","K1H","107.99","189.73","261.48","Finale B"
"Alexandre Lismonde","K1H","108.64","230.77","268.63","Finale B"
"Bastien Meslet","K1H","112.87","212.13","315.14","Finale B"
"Nowan Bertin","K1H","115.38","126.89","342.74","Finale B"
"Maxime Bottex","K1H","149.91","122.74","722.43","Finale B"
"Antoine Lebastard","K1H","156.59","215.31","795.88","Finale B"
"Romain Bertrand","K1H","157.56","174.81","806.55","Finale B"
"Pierre Audouin","K1H","350.87","161.44","2932.17","Finale B"
