"Sélectif Régional Slalom (Double) - Montreuil - Course n°1 | Finale - 2018-09-29","Course n°1 | Finale","2018-09-29","Régional","171"
"Yvan Leblond","C1H","136.1","324.44","476.45","Course n°1 | Finale A"
"Gwenole Noyalet","C1H","184.48","376.89","997.31","Course n°1 | Finale A"
"Hugo Tellier","C1HM","130.11","631.57","411.96","Course n°1 | Finale A"
"Nathan Huguenin","C1HM","144.65","735.67","568.5","Course n°1 | Finale A"
"Loic Dufour","C1HM","149.23","623.54","617.81","Course n°1 | Finale A"
"Gabin Louchez","C1HM","150.78","758.78","634.5","Course n°1 | Finale A"
"Louis Marvillet","C1HM","179.64","1151.56","945.2","Course n°1 | Finale A"
"Hugo Regnier-Arthur Mizzi","C2H","124.77","303.41","293.42","Course n°1 | Finale A"
"Thibaud Vielliard-Nicolas Ducrocq","C2H","127.7","304.56","323.53","Course n°1 | Finale A"
"Yvan Leblond-Hugo Baillet","C2H","160.01","698.84","655.57","Course n°1 | Finale A"
"Bertrand Avril-Sebastien Masseline","C2H","178.73","777.23","847.94","Course n°1 | Finale A"
"Tom Marchand-Romain Margerie","C2HM","153.26","627.04","586.2","Course n°1 | Finale A"
"Thibaud Vielliard-Tiphaine Duboc","C2M","139.41","333.25","324.48","Course n°1 | Finale A"
"Fabien Bonvalet-Alexia Evrard","C2M","171.3","642.79","624.89","Course n°1 | Finale A"
"Quentin Angot-Leontine Dubuisson","C2M","177.43","624.12","682.63","Course n°1 | Finale A"
"Clara Delahaye-Leni Perreau","C2MM","181.65","988.25","722.39","Course n°1 | Finale A"
"Pauline Lybrecht-Hugo Tellier","C2MM","182.1","1183.42","726.63","Course n°1 | Finale A"
"Tiphaine Duboc","K1D","121.01","160.78","221.76","Course n°1 | Finale A"
"Anais Bernardy","K1D","124.44","145.97","256.08","Course n°1 | Finale A"
"Emilie Delahaye","K1D","125.21","302.65","263.78","Course n°1 | Finale A"
"Alina Rassel","K1D","136.06","490.22","372.32","Course n°1 | Finale A"
"Lou Boisnard","K1D","137.75","359.07","389.23","Course n°1 | Finale A"
"Sophie Dupas","K1D","138.36","557.52","395.33","Course n°1 | Finale A"
"Eva Marchand","K1D","140.04","403.11","412.13","Course n°1 | Finale A"
"Coline Bertin","K1D","145.71","315.86","468.86","Course n°1 | Finale A"
"Clara Delahaye","K1DM","134.27","327.52","354.42","Course n°1 | Finale A"
"Romane Regnier","K1DM","135.71","355.18","368.82","Course n°1 | Finale A"
"Coline Regnier","K1DM","156.27","576.33","574.5","Course n°1 | Finale A"
"Elise Masseline","K1DM","160.17","559.73","613.51","Course n°1 | Finale A"
"Malo Quemeneur","K1H","98.15","29.35","120.72","Course n°1 | Finale A"
"Vincent Delahaye","K1H","101.45","54.83","158.03","Course n°1 | Finale A"
"Arthur Mizzi","K1H","102.37","161.84","168.43","Course n°1 | Finale A"
"Noe Perreau","K1H","103.06","167","176.23","Course n°1 | Finale A"
"Matheo Lebaindre","K1H","103.24","129","178.26","Course n°1 | Finale A"
"Anthony Drouhin","K1H","103.41","151.69","180.18","Course n°1 | Finale A"
"Luca Dos Santos","K1H","104.07","159.12","187.65","Course n°1 | Finale A"
"Loan Queffelec","K1H","104.71","205.5","194.88","Course n°1 | Finale A"
"Alex Louveau","K1H","106.42","155.66","214.21","Course n°1 | Finale A"
"Nicolas Feuillard","K1H","106.62","187.31","216.47","Course n°1 | Finale A"
"Joris Hello","K1H","106.8","237.36","218.51","Course n°1 | Finale A"
"Romain Huguenin","K1H","108.4","292.29","236.59","Course n°1 | Finale A"
"Nicolas Bernardy","K1H","108.58","154.68","238.63","Course n°1 | Finale A"
"Yann Le Govic","K1H","109.29","278.27","246.65","Course n°1 | Finale A"
"Eric Lamour","K1H","109.68","272.23","251.06","Course n°1 | Finale A"
"Denis Parizia","K1H","111.44","294.03","270.96","Course n°1 | Finale A"
"Melvin Queudeville","K1H","112.02","327.98","277.51","Course n°1 | Finale A"
"Edern Le Ruyet","K1H","112.22","363.79","279.77","Course n°1 | Finale A"
"Mewen Debliquy","K1H","112.37","332.87","281.47","Course n°1 | Finale A"
"Clement Dubois","K1H","112.88","304.41","287.23","Course n°1 | Finale A"
"Martin Dubois","K1H","113.09","303.98","289.61","Course n°1 | Finale A"
"Yvan Leblond","K1H","113.59","264.01","295.26","Course n°1 | Finale A"
"Vincent Hannedouche","K1H","113.7","284.92","296.5","Course n°1 | Finale A"
"Yohan Marck","K1H","115.92","416.42","321.6","Course n°1 | Finale A"
"Pierrick Gosselin","K1H","117.72","364.59","341.95","Course n°1 | Finale A"
"Matheo Dupont","K1H","117.96","380.81","344.66","Course n°1 | Finale A"
"Timothee Le Mort","K1H","118.98","258.31","356.19","Course n°1 | Finale A"
"Jean Messialle","K1H","119.18","406.27","358.45","Course n°1 | Finale A"
"Thibaut Evrard","K1H","123.37","384.06","405.82","Course n°1 | Finale A"
"Thomas Durand","K1H","144.96","47.14","649.87","Course n°1 | Finale A"
"Hugo Regnier","K1H","149.32","82.9","699.16","Course n°1 | Finale A"
"Timothee Cornu","K1H","153.17","186.45","742.68","Course n°1 | Finale A"
"Kendaor Le Huitou","K1H","157.09","113.12","786.99","Course n°1 | Finale A"
"Robin Dheilly","K1H","173.57","415.32","973.28","Course n°1 | Finale A"
"Florian Gosselin","K1H","Nt","-","-","Course n°1 | Finale A"
"Nathan Huguenin","K1HM","120.8","441.04","376.76","Course n°1 | Finale A"
"Florian Jumetz","K1HM","123.47","434.56","406.95","Course n°1 | Finale A"
"Romain Margerie","K1HM","125.87","462.13","434.08","Course n°1 | Finale A"
"Tom Marchand","K1HM","126.21","463.88","437.92","Course n°1 | Finale A"
"ClÉment Louveau","K1HM","129.1","561.25","470.59","Course n°1 | Finale A"
"Loick Manoury","K1HM","131.67","511.12","499.64","Course n°1 | Finale A"
"Pierric Clipet","K1HM","132.04","585.2","503.82","Course n°1 | Finale A"
"Leo Dos Santos","K1HM","132.58","585.83","509.93","Course n°1 | Finale A"
"Cosme Duboc","K1HM","134.28","552.64","529.14","Course n°1 | Finale A"
"Leni Perreau","K1HM","145.29","571.26","653.6","Course n°1 | Finale A"
"Louis Marvillet","K1HM","151.04","706.91","718.6","Course n°1 | Finale A"
"Anais Bernardy","C1D","139.11","430.29","326.66","Course n°1 | Finale B"
"Leontine Dubuisson","C1D","170.5","720.4","622.35","Course n°1 | Finale B"
"Chloe Gatuingt","C1D","174.43","467.96","659.37","Course n°1 | Finale B"
"Michael Philibert","C1H","120.42","240.05","312.65","Course n°1 | Finale B"
"Olivier Gesbert","C1H","129.27","418.98","407.88","Course n°1 | Finale B"
"Francois Durand","C1H","133.83","511.26","457.02","Course n°1 | Finale B"
"Robin Dheilly","C1H","134.15","483.72","460.46","Course n°1 | Finale B"
"Fabien Bonvalet","C1H","134.74","459.45","466.82","Course n°1 | Finale B"
"Nicolas Feuillard","C1H","135.74","417.87","477.58","Course n°1 | Finale B"
"Quentin Angot","C1H","138.05","468.72","502.45","Course n°1 | Finale B"
"Louis Marescot","C1H","139.57","544.52","518.82","Course n°1 | Finale B"
"Baptiste Duboc","C1H","142.02","606.7","545.19","Course n°1 | Finale B"
"Paul Lecomte","C1H","148.08","723.55","610.44","Course n°1 | Finale B"
"Jeremy Huguenin","C1H","151.32","602.53","645.31","Course n°1 | Finale B"
"Sebastien Masseline","C1H","161.39","781.5","753.73","Course n°1 | Finale B"
"Thibaut Evrard","C1H","161.75","707.7","757.6","Course n°1 | Finale B"
"Melvin Queudeville","C1H","313.74","1675.42","2393.9","Course n°1 | Finale B"
"Noe Perreau","C1H","Nt","-","-","Course n°1 | Finale B"
"Bertrand Avril-Chloe Gatuingt","C2M","151.72","400.26","445.44","Course n°1 | Finale B"
"Julie Dupas","K1D","143.77","493.97","454.45","Course n°1 | Finale B"
"Leontine Dubuisson","K1D","145.52","500.48","471.96","Course n°1 | Finale B"
"Pauline Guenery","K1D","152.16","588.43","538.38","Course n°1 | Finale B"
"Charlotte Chauvey","K1D","157.44","507.73","591.2","Course n°1 | Finale B"
"Zoe Marchand","K1D","174.95","739.35","766.36","Course n°1 | Finale B"
"Alexia Evrard","K1D","190.03","991.13","917.22","Course n°1 | Finale B"
"Chloe Gatuingt","K1D","194.13","400.29","958.23","Course n°1 | Finale B"
"Lisa Manach","K1DM","147.2","550.94","488.76","Course n°1 | Finale B"
"Emma Pouilly","K1DM","161.1","836.12","627.81","Course n°1 | Finale B"
"Lou-ann Delmotte","K1DM","297.24","2346.5","1989.71","Course n°1 | Finale B"
"Wendy Bomy","K1DM","Nt","-","-","Course n°1 | Finale B"
"Gaspard Perrio","K1H","112.21","455.14","284.66","Course n°1 | Finale B"
"Rafael Lerusse","K1H","117.81","400.51","347.96","Course n°1 | Finale B"
"Bertrand Avril","K1H","118.73","332.69","358.36","Course n°1 | Finale B"
"Quentin Angot","K1H","118.9","343.13","360.29","Course n°1 | Finale B"
"Baptiste Duboc","K1H","119.47","401.08","366.73","Course n°1 | Finale B"
"Dimitry Vandenabeele","K1H","120","418","372.72","Course n°1 | Finale B"
"Theo Loury","K1H","120.74","386.19","381.09","Course n°1 | Finale B"
"Arnaud Delattre","K1H","122.92","433.36","405.73","Course n°1 | Finale B"
"Francois Durand","K1H","123.43","438.74","411.49","Course n°1 | Finale B"
"Stephane Debliquy","K1H","125.86","400.83","438.96","Course n°1 | Finale B"
"Dante Bourlet De La Vallee","K1H","126.26","477.16","443.48","Course n°1 | Finale B"
"Fabien Bonvalet","K1H","128","466.88","463.15","Course n°1 | Finale B"
"Charles Dampeyrou","K1H","129.21","617.68","476.83","Course n°1 | Finale B"
"Alan Le Goff","K1H","130.19","416.79","487.91","Course n°1 | Finale B"
"Antoine Huger","K1H","131.4","622.33","501.59","Course n°1 | Finale B"
"Noe Vannier","K1H","132.2","616.55","510.63","Course n°1 | Finale B"
"Alban Duboc","K1H","135.26","563.42","545.22","Course n°1 | Finale B"
"Gabriel Benoit","K1H","136","532.82","553.59","Course n°1 | Finale B"
"Philippe Valeri","K1H","137.24","571.1","567.6","Course n°1 | Finale B"
"Sebastien Patoir","K1H","139.6","810.54","594.28","Course n°1 | Finale B"
"Jeanchristophe Laroque","K1H","140.87","576.49","608.64","Course n°1 | Finale B"
"Maxence Galy","K1H","141.38","579.4","614.4","Course n°1 | Finale B"
"Thomas Gossieaux","K1H","142.28","576.86","624.58","Course n°1 | Finale B"
"Remi Blaud","K1H","144.83","607.18","653.4","Course n°1 | Finale B"
"Benjamin Patoir","K1H","148.48","766.12","694.66","Course n°1 | Finale B"
"Philippe Podvin","K1H","156.06","788.74","780.35","Course n°1 | Finale B"
"Pierre Carton","K1H","160.43","1427.3","829.75","Course n°1 | Finale B"
"Thibaut Jumetz","K1H","161.3","721.97","839.58","Course n°1 | Finale B"
"Jeremy Huguenin","K1H","170.19","350.78","940.08","Course n°1 | Finale B"
"Thomas Brunet","K1H","226.19","1040.25","1573.11","Course n°1 | Finale B"
"Yves Souchal","K1H","227.71","1056.63","1590.29","Course n°1 | Finale B"
"Adrien Andre","K1H","277.05","3732.4","2148.04","Course n°1 | Finale B"
"Joseph Simonpietri","K1H","329.18","2366.04","2737.32","Course n°1 | Finale B"
"Clement Sannier","K1H","Nt","-","-","Course n°1 | Finale B"
"Quentin Podevin","K1HM","130.5","648.37","491.41","Course n°1 | Finale B"
"Erwan Masson","K1HM","144.19","701.48","646.17","Course n°1 | Finale B"
"Noe Boudinel","K1HM","150.13","847.91","713.31","Course n°1 | Finale B"
"Pierre-louis Mingasson","K1HM","150.28","904","715.01","Course n°1 | Finale B"
"Timothee Clep","K1HM","161.82","1055.69","845.46","Course n°1 | Finale B"
"Mathis Alexandre","K1HM","181.81","1294.99","1071.43","Course n°1 | Finale B"
"Pierre Dufrenne","K1HM","187.49","1195.67","1135.64","Course n°1 | Finale B"
"Garvan Boulben","K1HM","210.96","1363.56","1400.95","Course n°1 | Finale B"
"Elias Bouddour","K1HM","218.52","933.41","1486.41","Course n°1 | Finale B"
"Ira Bepoix","K1HM","232.02","1174.86","1639.01","Course n°1 | Finale B"
