"SÈlectif RÈgional de Slalom - Amou - Finale - 2017-01-29","Finale","2017-01-29","RÈgional","252"
"Lucie Prioux","K1D","112.43","95.55","131.61","Finale A"
"Cecile Tixier","K1D","115.39","158.32","161.89","Finale A"
"Doriane Delassus","K1D","116.41","193.93","172.32","Finale A"
"Alixe Degremont","K1D","117.79","184.4","186.44","Finale A"
"Clemence Lartigue","K1D","121.82","251.38","227.66","Finale A"
"Stephanie Kaczmarek","K1D","124.38","208.56","253.85","Finale A"
"Carla Lacroix","K1D","128.17","312.27","292.62","Finale A"
"Elena Hugues","K1D","128.3","215.1","293.95","Finale A"
"Oriane Guichet","K1D","130.19","322.55","313.28","Finale A"
"Elorri Erdois","K1D","130.3","270.41","314.41","Finale A"
"Laetitia Thueux","K1D","130.34","-","314.82","Finale A"
"Lea Baldoni","K1D","130.96","344.52","321.16","Finale A"
"Oceane Baylacq","K1D","133.17","296.84","343.77","Finale A"
"Maeva Bachelot","K1D","133.35","361.99","345.61","Finale A"
"Marine Izac","K1D","184.54","303.15","869.26","Finale A"
"Emma Vuitton","K1DM","122.89","231.95","238.61","Finale A"
"Laurine Salesse","K1DM","137.59","422.09","388.98","Finale A"
"Amelie Leclercq","K1DM","139.35","581.87","406.99","Finale A"
"Nahia Oteiza","K1DM","147.45","-","489.85","Finale A"
"Mathieu Desnos","K1H","93.53","44.24","62.65","Finale A"
"Alan Dollo","K1H","97.18","107.44","104.84","Finale A"
"Jonas Turmeau","K1H","99.99","102.09","137.32","Finale A"
"Anatole Delassus","K1H","103.33","143.1","175.93","Finale A"
"Hugo Crepeau","K1H","103.57","161.91","178.7","Finale A"
"Bryan Seiler","K1H","104.41","202.49","188.41","Finale A"
"Pierre-louis Saussereau","K1H","105.82","175.63","204.71","Finale A"
"Jeremie Palazy","K1H","105.89","246.85","205.52","Finale A"
"Paul Pradalie","K1H","106.49","202.38","212.46","Finale A"
"Giacomo Barzon","K1H","107.16","250.26","220.2","Finale A"
"Clement Cierocki","K1H","107.37","219.75","222.63","Finale A"
"Leo Vuitton","K1H","108.57","233.06","236.5","Finale A"
"Louis Georges Lafont","K1H","108.98","149.14","241.24","Finale A"
"Bertrand Gourrat","K1H","109.96","221.57","252.57","Finale A"
"Tom Deconchy","K1H","110.31","191.22","256.61","Finale A"
"Luc Sarramea","K1H","110.52","228.87","259.04","Finale A"
"Valentin Courtiade","K1H","111.9","257.25","274.99","Finale A"
"Hugo Mouffle","K1H","112.11","227.12","277.42","Finale A"
"Elliot Perez","K1H","113.05","295.37","288.29","Finale A"
"Eric Deguil","K1H","113.3","-","291.18","Finale A"
"Pierre Campagne","K1H","113.9","270.71","298.11","Finale A"
"Gregoire Pouille","K1H","115.61","301.32","317.88","Finale A"
"Theo Ducasse","K1H","115.64","312.55","318.23","Finale A"
"Fabien Lanao","K1H","115.77","284.15","319.73","Finale A"
"Patrick Clerc","K1H","116.22","330.05","324.93","Finale A"
"Nicolas Saurat","K1H","116.36","305.97","326.55","Finale A"
"Esteban Illido","K1H","116.68","452.77","330.25","Finale A"
"Didier Baylacq","K1H","116.92","271.55","333.02","Finale A"
"Pascal Dongarra","K1H","117.36","324.64","338.11","Finale A"
"Loic Thibaut","K1H","117.66","354.46","341.58","Finale A"
"Flavien San Augustin","K1H","118.45","237.41","350.71","Finale A"
"Florian Giraud","K1H","118.47","370.23","350.94","Finale A"
"Alois Bertrand","K1H","118.51","353.33","351.4","Finale A"
"Adrien Mesmoudi","K1H","118.92","288.83","356.14","Finale A"
"Jonathan Suc","K1H","118.94","364.15","356.37","Finale A"
"Antonin Maystre","K1H","119.11","354.59","358.34","Finale A"
"Manuel Legros","K1H","119.16","337.33","358.91","Finale A"
"Florent Iraundegui","K1H","119.44","206.97","362.15","Finale A"
"Felix Praderie","K1H","119.72","382.56","365.39","Finale A"
"Gael Adisson","K1H","120.7","263.2","376.72","Finale A"
"Clement Ravoteur","K1H","121.07","362.67","380.99","Finale A"
"Nathan Pavot","K1H","121.44","365.34","385.27","Finale A"
"Marc Darribere","K1H","121.74","337.53","388.74","Finale A"
"Paul Luquet","K1H","122.28","314.01","394.98","Finale A"
"Nicolas Corbin","K1H","122.37","359.35","396.02","Finale A"
"Angus Cruickshank","K1H","122.37","420.28","396.02","Finale A"
"Marc Cordier","K1H","122.39","325.91","396.25","Finale A"
"Bastien Daniel","K1H","122.57","420.74","398.33","Finale A"
"Theau Le Loch","K1H","123.47","292.34","408.74","Finale A"
"Thibault Clerc","K1H","123.74","342.5","411.86","Finale A"
"Kenae Brassier","K1H","124.08","455.51","415.79","Finale A"
"Vincent Gardere","K1H","124.28","382.7","418.1","Finale A"
"Elian Giondini","K1H","126.08","383.61","438.9","Finale A"
"Pablo Chaminade","K1H","126.21","462.7","440.41","Finale A"
"Theo Laudrin","K1H","127.13","562.37","451.04","Finale A"
"Cedric Landreau","K1H","130.15","466.59","485.95","Finale A"
"Jean Yves Courtiade","K1H","134.11","415.38","531.73","Finale A"
"Titouan Dupras","K1H","152.22","101.03","741.06","Finale A"
"Jean Christophe Erdois","K1H","171.42","327.57","963","Finale A"
"Vincent Fondeviole","K1H","Abs","-","-","Finale A"
"Loris Shayam Affre","K1HM","124.66","441.56","422.49","Finale A"
"Mael Bernes","K1HM","124.88","377.27","425.03","Finale A"
"Emilien Courtiade","K1HM","126.55","-","444.34","Finale A"
"Fantin Delage-garez","K1HM","127.82","470.47","459.02","Finale A"
"Cyprien Cail","K1HM","129.41","725.19","477.4","Finale A"
"Esteban Bidegain","K1HM","133.73","-","527.33","Finale A"
"Baptiste Delemotte","K1HM","133.98","544.98","530.22","Finale A"
"Antton Erdois","K1HM","134.36","-","534.62","Finale A"
"Matt Vidou","K1HM","137.95","607.23","576.11","Finale A"
"Alex Baldoni","K1HM","140.56","624.65","606.28","Finale A"
"Guillaume Malmezac","K1HM","142.38","652.25","627.32","Finale A"
"Thomas Terr…","K1HM","143.5","677.94","640.27","Finale A"
"K…ziah Lecomte","K1HM","149.66","-","711.47","Finale A"
"Julien Doumecq","K1HM","193.77","600.91","1221.35","Finale A"
"Berenice Kolenc","C1D","132.26","-","260.54","Finale B"
"Lucile Gangloff","C1D","146.3","-","395.78","Finale B"
"C…cilia Bourgeois","C1D","148.38","437.53","415.82","Finale B"
"Lea Baldoni","C1D","148.95","614.26","421.31","Finale B"
"Elorri Erdois","C1D","151.13","407.47","442.31","Finale B"
"Solene Lafitte","C1D","162.11","-","548.08","Finale B"
"Didier Baylacq","C1H","128.72","340.29","403.56","Finale B"
"Clement Ravoteur","C1H","129.58","372.67","413.04","Finale B"
"Tomy Dandonneau","C1H","131.02","430.85","428.89","Finale B"
"Paul Pradalie","C1H","135.54","-","478.65","Finale B"
"Fabrice Lacoudre","C1H","137.53","521.43","500.56","Finale B"
"Adrien Mesmoudi","C1H","143.12","572.63","562.1","Finale B"
"Tonin Desmet","C1H","149.84","-","636.08","Finale B"
"Thomas Bisetto","C1H","153.97","-","681.54","Finale B"
"Thibaut Carcy","C1H","156.49","-","709.28","Finale B"
"Vincent Sophian","C1H","156.78","601.41","712.47","Finale B"
"Paul Gobert","C1H","162.46","1393.54","775.01","Finale B"
"Nicolas Scharff","C1H","167.19","916.03","827.08","Finale B"
"Angus Cruickshank","C1H","173.34","-","894.79","Finale B"
"Antton Erdois","C1HM","153.97","-","681.54","Finale B"
"Matt Vidou","C1HM","162.28","-","773.02","Finale B"
"Baptiste Delemotte","C1HM","168.55","-","842.05","Finale B"
"Alex Baldoni","C1HM","172.86","-","889.5","Finale B"
"Thomas Terr…","C1HM","185.76","-","1031.51","Finale B"
"C…cilia Bourgeois","K1D","133.21","353.6","349.18","Finale B"
"Lucile Gangloff","K1D","134.49","378.97","362.27","Finale B"
"Solene Lafitte","K1D","139.58","418.62","414.34","Finale B"
"Jeanne Pecot","K1D","142.33","433.43","442.47","Finale B"
"Laurence Pessoni","K1D","142.45","380.61","443.7","Finale B"
"Camille Santa Cruz","K1D","142.97","390.4","449.01","Finale B"
"Helene Courtel","K1D","143.39","475.01","453.31","Finale B"
"Lea Hubert","K1D","146.69","532.88","487.07","Finale B"
"Clarisse Hoogland","K1D","148.99","558","510.6","Finale B"
"Romane Decoopman","K1D","150.04","462.33","521.34","Finale B"
"Emma Angladette","K1D","152.79","526.12","549.46","Finale B"
"Celia Roulleau","K1D","157.15","-","594.07","Finale B"
"Selma Janami-ragu","K1D","172.44","1021.11","750.48","Finale B"
"Claire Veloso","K1D","176.21","993.63","789.04","Finale B"
"Carla Voineau","K1D","190.9","427.84","939.31","Finale B"
"Noemie Pontaut","K1D","192.27","1183.53","953.32","Finale B"
"Pauline Rouilhet","K1DM","142.62","567.93","445.43","Finale B"
"Youlia Estanguet","K1DM","146.77","548.13","487.89","Finale B"
"Ninon Cadel-lacarriere","K1DM","173.97","-","766.13","Finale B"
"Chloe Bonnet","K1DM","186.74","-","896.76","Finale B"
"Arnaud Lapeze","K1H","107.62","130.41","230.52","Finale B"
"Tom Bouchardon","K1H","113.89","262.29","303","Finale B"
"Lionel Blank","K1H","120.74","397.55","382.18","Finale B"
"Gauthier Sanchou","K1H","122.34","474.88","400.67","Finale B"
"Eric Vidou","K1H","123.3","407.29","411.77","Finale B"
"Guilhem Viguier","K1H","123.84","388.14","418.01","Finale B"
"Anthony Jonot","K1H","126.2","544.33","445.29","Finale B"
"Fabrice Roy","K1H","126.29","516.14","446.33","Finale B"
"Tomy Dandonneau","K1H","126.62","403.41","450.15","Finale B"
"Leo Dujourd'hui","K1H","126.94","502.22","453.85","Finale B"
"Gedeon Cothias-faure","K1H","127.24","473.45","457.31","Finale B"
"Maxime Pourret","K1H","127.36","553.3","458.7","Finale B"
"Lucas Mauer","K1H","127.49","528.23","460.2","Finale B"
"Frederic Reus","K1H","127.58","444.3","461.24","Finale B"
"Baptiste Riviere","K1H","127.67","421.35","462.28","Finale B"
"Pierre Gaydier","K1H","129.23","464.64","480.32","Finale B"
"Jean Dayraut","K1H","129.33","523.39","481.47","Finale B"
"Loan Jioux","K1H","130.79","558.21","498.35","Finale B"
"Baptiste San Nicolas","K1H","131.16","559.24","502.63","Finale B"
"Baptiste Lauroua","K1H","132.2","376.12","514.65","Finale B"
"Abel Boidron","K1H","132.45","584.63","517.54","Finale B"
"Yannis Dast","K1H","132.79","573.68","521.47","Finale B"
"Thomas Bisetto","K1H","132.9","-","522.74","Finale B"
"Robin Mougel","K1H","133.1","528.02","525.05","Finale B"
"Paul Gobert","K1H","134.39","588.42","539.96","Finale B"
"Tom Gonzales","K1H","134.48","530.72","541","Finale B"
"Marc Sarramea","K1H","134.97","377.72","546.67","Finale B"
"Tonin Desmet","K1H","135.75","496.1","555.68","Finale B"
"Compton Cruickshank","K1H","135.85","533.51","556.84","Finale B"
"Romain Guichet","K1H","137.39","688.98","574.64","Finale B"
"Maxime Reubrez","K1H","137.63","564.53","577.41","Finale B"
"Lucas Dongarra","K1H","138.24","-","584.47","Finale B"
"Fabrice Lacoudre","K1H","138.3","633.36","585.16","Finale B"
"Arthur Accini","K1H","140.82","586.28","614.29","Finale B"
"Samuel Blain","K1H","142.31","-","631.51","Finale B"
"Alexandre Charrier","K1H","142.33","-","631.74","Finale B"
"Max Gruby","K1H","142.77","-","636.83","Finale B"
"Renaud Clerc","K1H","143.18","592.41","641.57","Finale B"
"Bruno Oteiza","K1H","143.22","617.31","642.03","Finale B"
"Clement Sempe","K1H","144.81","681.07","660.41","Finale B"
"Jean Luc Pessoni","K1H","145.31","638.23","666.19","Finale B"
"David Acero Blondin","K1H","147.77","905.28","694.63","Finale B"
"Fabrice Le Bras","K1H","149.15","-","710.58","Finale B"
"Franck Vanhoutteghem","K1H","149.46","849.58","714.16","Finale B"
"Eric Gonzalez","K1H","149.79","-","717.98","Finale B"
"Matthieu Desbons","K1H","150.98","918.33","731.73","Finale B"
"Matheo Nassieu","K1H","151.5","-","737.74","Finale B"
"Tristan Ruiz","K1H","160.84","-","845.71","Finale B"
"Guillaume Dufau","K1H","161.63","994.46","854.84","Finale B"
"Fabien Paleau","K1H","171.38","317.05","967.54","Finale B"
"Solal Gaudin","K1H","171.53","-","969.28","Finale B"
"Julien Belz","K1H","174.75","-","1006.5","Finale B"
"Simon Metra","K1H","180.43","488.44","1072.15","Finale B"
"Nicolas Peyroux","K1H","182.66","1278.73","1097.93","Finale B"
"Quentin Escudero","K1H","194.25","-","1231.9","Finale B"
"Aurelien Blois","K1H","250.37","-","1880.61","Finale B"
"Antoine Dupont","K1H","369.96","-","3262.99","Finale B"
"Rupert Wilson-smith","K1H","Des","-","-","Finale B"
"Arnauld Couvelaere","K1H","Abs","-","-","Finale B"
"Marin Saint Macary","K1HM","141.43","-","621.34","Finale B"
"Gabin Allard","K1HM","142.02","825.49","628.16","Finale B"
"Clement Guyon","K1HM","151.48","1432.59","737.51","Finale B"
"Leo Metro","K1HM","152.63","894.59","750.8","Finale B"
"J…r…my Nardi","K1HM","154.89","-","776.93","Finale B"
"Thibault Marque","K1HM","159.69","-","832.41","Finale B"
"Arsene Labarthe","K1HM","181.87","-","1088.8","Finale B"
"Noa Lorand","K1HM","183.35","-","1105.91","Finale B"
"Emeric Nieser","K1HM","204.07","-","1345.41","Finale B"
"Thomas Fernandes","K1HM","240.01","-","1760.86","Finale B"
"Noe Geffroy","K1HM","280.19","-","2225.31","Finale B"
