"SÈlectif rÈgional slalom - Rimaison - Qualification - 2020-09-06","Qualification","2020-09-06","RÈgional","165"
"Mathis Colin","K1HM","131.44","1140.42","1079.68",""
"Noah Hebert","K1HM","135.68","2533.79","1145.22",""
"Loan Beaucourt","K1HM","158.05","1071.73","1491.06",""
"Lucas Hado","K1HM","160.02","843.9","1521.51",""
"Pierre Le Corvaisier","K1HM","160.45","848.25","1528.16",""
"Clement Le Naour","K1HM","161.53","810.41","1544.86",""
"Timothe Balbous","K1HM","173.76","1072.92","1733.93",""
"Quentin Maisonneuve","K1HM","181.02","1213.85","1846.17",""
"Elouan Tanguy","K1HM","294.1","-","3594.35",""
"Martin Cornu","K1HM","Abs","-","-",""
