"SELECTIF REGIONAL SLALOM SERVON S sur  VILAINE - Servon sur Vilaine - 2007-10-21","Course 1","2007-10-21","Régional","150"
"Louet Jeremie","K1H","255.50","-","303",""
"Cachau Heneillat Emmanuel","K1H","256.35","-","307",""
"Yves Prigent","K1H","258.50","-","319",""
"Jacques Despierres","K1H","258.94","249","321",""
"Alexis Lotton","K1H","259.73","366","325",""
"Lorin Oger","K1H","259.93","-","326",""
"Philippe Rocher","K1H","260.64","311","330",""
"Vincent Lemonnier","K1H","260.75","292","331",""
"Benjamin Duchene","K1H","261.01","431","332",""
"Julien Douais","K1H","263.67","400","346",""
"Sylvain Martineau","K1H","264.22","-","349",""
"Bertrand Kerzerho","K1H","266.76","-","362",""
"Maxime Dreux","K1H","268.79","-","373",""
"Milbeo Nicolas","K1H","268.90","-","374",""
"Cellier Francois","K1H","270.17","-","380",""
"Ludovic Gaignon","K1H","271.97","-","390",""
"Le Tulzo Jean","K1H","272.79","-","394",""
"Maxime Beaulieu","K1H","273.76","-","400",""
"Goulwen Chapelier","K1H","276.77","148","415",""
"Thibaud Couetil","K1H","277.75","539","420",""
"Richard Fradin","K1H","277.82","475","421",""
"Gael Prodeau","K1H","278.64","442","426",""
"Jamyson Claquin","K1H","282.13","701","444",""
"Dubrul Julien","K1H","283.51","-","451",""
"Deledalle Thomas","K1H","286.12","-","464",""
"Pierrick Meheust","K1H","286.57","495","468",""
"Matthieu Jonnart-baur","K1H","286.67","360","468",""
"Simon Seuru","K1H","286.78","-","469",""
"Jonas Turmeau","K1H","287.57","1072","472",""
"Louet Antoine","K1H","290.65","-","489",""
"Gonthier Lucas","K1H","293.21","368","502",""
"Bizot Antoine","K1H","295.99","223","517",""
"Christian Belouin","K1H","298.80","558","532",""
"Pierre Yves Tanguy","K1H","303.43","231","556",""
"Renan Le Caro","K1H","308.28","1059","582",""
"Pierrick Rouset","K1H","308.68","-","584",""
"Eric Rivault","K1H","309.19","-","587",""
"Rivau Guillaume","K1H","310.66","-","595",""
"Romain Hernot","K1H","311.03","-","597",""
"Jeremie Haese","K1H","314.29","-","614",""
"Victor Azam","K1H","315.67","415","621",""
"Thierry Dugue","K1H","316.80","724","627",""
"Hebert Willliam","K1H","321.30","-","651",""
"Corentin Boleis","K1H","321.57","-","652",""
"Theo Laudrin","K1H","322.03","-","654",""
"Paulet Fabien","K1H","324.37","-","667",""
"Thomas Richer","K1H","335.28","-","724",""
"Flavien Portier","K1H","345.49","-","779",""
"Jeremy Escaffre","K1H","350.63","-","806",""
"Baptiste Puizillout","K1H","352.83","-","818",""
"Pommier Florian","K1H","372.66","-","922",""
"Le Bras Gurvan","K1H","375.68","-","939",""
"Delacroix Olivier","K1H","401.45","-","1074",""
"Julien Genouel","K1H","535.48","-","1783",""
