"Sélectif Régional - Servon sur Vilaine (La Mecque1) - Qualification - 2014-03-23","Qualification","2014-03-23","Régional","141"
"Alexandre Bordas","K1H","Nt","-","-",""
"Vincent Pelgrin","K1H","Nt","-","-",""
"Lucas Godevin","K1H","Nt","-","-",""
"Pierre-amaury Duclau","K1H","Nt","-","-",""
"Maxime Berthaut","K1H","Nt","-","-",""
"Hugo Regnier","K1HM","115.8","-","-",""
"Arthur Mizzi","K1HM","118.62","-","-",""
"Valentin Vigilant","K1HM","133.51","-","-",""
"Killian Perrier","K1HM","134.11","-","-",""
"Maxime Robin","K1HM","134.81","-","-",""
"Maxime Margely","K1HM","136.08","-","-",""
"Eric Moyangar","K1HM","139.01","-","-",""
"Jonas Flament","K1HM","139.7","-","-",""
"Timothee Cornu","K1HM","141.22","-","-",""
"Nicolas Maurel","K1HM","147.6","-","-",""
"Roman Busnel","K1HM","150.88","-","-",""
"Mael Crespel","K1HM","153.36","-","-",""
"Aymerick Leborgne","K1HM","154.26","-","-",""
"Nathanael Pedron","K1HM","154.33","-","-",""
"Charles Temple","K1HM","216.99","-","-",""
"Lucas Messina","K1HM","217.36","-","-",""
"Elliot David","K1HM","Nt","-","-",""
