"Sélectif régional - St Beauzille De Putois - 2008-11-30","Course 1","2008-11-30","Régional","116"
"Guillaume Pit","K1H","270.04","329","459",""
"Bruno Martins","K1H","274.53","-","486",""
"Quentin Ducrot","K1H","278.65","-","511",""
"Quentin Duhamel","K1H","280.33","-","520",""
"Jolan Konig","K1H","283.99","495","542",""
"Guillaume Gonzalez","K1H","284.61","-","545",""
"Maxime Lefebvre","K1H","285.21","-","549",""
"Alexandre Carre","K1H","300.19","1079","637",""
"Alexis Reigne","K1H","302.18","-","649",""
"William Gettliffe","K1H","303.09","-","655",""
"Gauthier Vanden  Abeele","K1H","306.26","1197","673",""
"Dylan Bard","K1H","310.37","-","698",""
"Pierre Demateis","K1H","312.49","-","710",""
"Ivan Dischler","K1H","313.88","-","718",""
"Adrien Baron","K1H","319.10","-","749",""
"Elie Pauget","K1H","319.43","459","750",""
"Dariuch Bodin","K1H","319.54","-","751",""
"Mathieu Lions","K1H","324.22","-","779",""
"Guillaume Verhaeghe","K1H","327.79","883","800",""
"Marc Le Morvan","K1H","330.50","-","817",""
"Tristan Levrien","K1H","348.23","-","920",""
"Damien Gassies","K1H","365.76","-","1024",""
"Quentin Raissac","K1H","370.98","-","1055",""
"Jonathan Lavigne","K1H","386.07","-","1144",""
"Remy Beule Dauzat","K1H","485.24","-","1729",""
