"SÈlectif RÈgional Slalom (Double) - 35510 Cesson Sevigne - Course n∞2 | Finale - 2019-10-13","Course n∞2 | Finale","2019-10-13","RÈgional","293"
"Daneric Ollivier","K1H","103.29","338.75","378.92","Course n∞2 | Finale B"
"Glen Le Meur","K1H","104.56","397.48","395.47","Course n∞2 | Finale B"
"Jules Roos","K1H","107.3","372.27","431.18","Course n∞2 | Finale B"
"Gwenole Noyalet","K1H","108.09","438.35","441.47","Course n∞2 | Finale B"
"Kylian Lavole","K1H","109.73","586.64","462.84","Course n∞2 | Finale B"
"Benoit Ricard","K1H","110.33","478.32","470.66","Course n∞2 | Finale B"
"Simon Seuru","K1H","110.81","434","476.92","Course n∞2 | Finale B"
"Adrien Pierre","K1H","111.49","420.79","485.78","Course n∞2 | Finale B"
"Clement Ezanno","K1H","111.83","488.51","490.21","Course n∞2 | Finale B"
"Ewann Hervouet","K1H","112.32","676.7","496.6","Course n∞2 | Finale B"
"Juan Riu","K1H","112.47","537.38","498.55","Course n∞2 | Finale B"
"Yann Curti","K1H","113.73","510.74","514.97","Course n∞2 | Finale B"
"Nicolas Le Belleguic","K1H","114.03","573.91","518.88","Course n∞2 | Finale B"
"Adrien Brigant","K1H","114.95","553.55","530.87","Course n∞2 | Finale B"
"Antoine Aubert","K1H","115.56","556.2","538.82","Course n∞2 | Finale B"
"Pierre Rochon","K1H","116.07","716.49","545.46","Course n∞2 | Finale B"
"Mael Calvez","K1H","116.38","627.59","549.5","Course n∞2 | Finale B"
"Yoann Turowsky","K1H","116.58","611.27","552.11","Course n∞2 | Finale B"
"Romain Margerie","K1H","117.28","461.9","561.23","Course n∞2 | Finale B"
"Vincent Donval","K1H","117.3","547.96","561.49","Course n∞2 | Finale B"
"Simon Beguinel","K1H","117.31","647.61","561.62","Course n∞2 | Finale B"
"Alan Olivo","K1H","117.65","412.84","566.06","Course n∞2 | Finale B"
"Yann Le Bourser","K1H","118.35","483.33","575.18","Course n∞2 | Finale B"
"Laurent Echivard","K1H","118.76","459.8","580.52","Course n∞2 | Finale B"
"Adrien Le Collinet","K1H","119.61","478.89","591.6","Course n∞2 | Finale B"
"Logan Toubel","K1H","119.63","582.59","591.86","Course n∞2 | Finale B"
"Hugo Robert","K1H","120.57","465.93","604.11","Course n∞2 | Finale B"
"Olivier Brochard","K1H","120.9","582.99","608.41","Course n∞2 | Finale B"
"Valentin Rault","K1H","120.96","784.71","609.19","Course n∞2 | Finale B"
"Louison Laumondais","K1H","121.2","641.57","612.32","Course n∞2 | Finale B"
"Nicolas Laly","K1H","121.71","653.57","618.96","Course n∞2 | Finale B"
"Louis Beaumois","K1H","123.1","591.2","637.08","Course n∞2 | Finale B"
"Victor Robert","K1H","125.05","571.5","662.49","Course n∞2 | Finale B"
"Valentin Rolland","K1H","126.49","811.04","681.26","Course n∞2 | Finale B"
"Thomas Hado","K1H","126.52","515.62","681.65","Course n∞2 | Finale B"
"Florian Szabo","K1H","127.93","632.37","700.02","Course n∞2 | Finale B"
"Maxence Galy","K1H","128.78","693.99","711.1","Course n∞2 | Finale B"
"Hugo Quistrebert","K1H","130.67","655.9","735.73","Course n∞2 | Finale B"
"Louis Nivet","K1H","131.68","642.37","748.89","Course n∞2 | Finale B"
"Christian Le Parc","K1H","138.33","932.56","835.55","Course n∞2 | Finale B"
"Ambroise Perier","K1H","139.13","1125.17","845.98","Course n∞2 | Finale B"
"Julien Pommerol","K1H","139.28","741.41","847.93","Course n∞2 | Finale B"
"Esteban Olivier","K1H","139.43","592.75","849.89","Course n∞2 | Finale B"
"Nathan Bruneau","K1H","139.63","890.6","852.49","Course n∞2 | Finale B"
"Tom Allio","K1H","140.94","823.75","869.57","Course n∞2 | Finale B"
"Victor Perebaskine","K1H","143.33","931.11","900.71","Course n∞2 | Finale B"
"Brieuc Moreau","K1H","146.21","1159.95","938.24","Course n∞2 | Finale B"
"Arthur Hervieu","K1H","147.2","1026.82","951.14","Course n∞2 | Finale B"
"Gatien Bocage","K1H","148.87","866.44","972.91","Course n∞2 | Finale B"
"Samuel Piton","K1H","152.08","710.2","1014.74","Course n∞2 | Finale B"
"Elias Schieber","K1H","152.67","1603.67","1022.43","Course n∞2 | Finale B"
"Theo Le Roux","K1H","153.82","872.73","1037.41","Course n∞2 | Finale B"
"Christian Belouin","K1H","153.89","918.87","1038.33","Course n∞2 | Finale B"
"Mael Maugain","K1H","156.18","1061.55","1068.17","Course n∞2 | Finale B"
"Denis Coppens","K1H","164.52","1013.09","1176.85","Course n∞2 | Finale B"
"Robinson Le Maillot","K1H","165.56","2364.7","1190.41","Course n∞2 | Finale B"
"Thierry Dugue","K1H","168.1","1103.19","1223.51","Course n∞2 | Finale B"
"Ewenn Le Louet","K1H","278.05","1790.31","2656.35","Course n∞2 | Finale B"
"Corentin Bourneuf","K1H","Des","-","-","Course n∞2 | Finale B"
"Thomas Heslouis","K1H","Abs","-","-","Course n∞2 | Finale B"
"Brieuc Reucheron","K1H","Dsq","-","-","Course n∞2 | Finale B"
"Vincent Froger","K1H","Abs","-","-","Course n∞2 | Finale B"
"Thomas Brochard","K1H","Abs","-","-","Course n∞2 | Finale B"
"Tom Armand","K1H","Abd","-","-","Course n∞2 | Finale B"
"Arthur Lescarmontier","K1HM","122.37","620.42","627.57","Course n∞2 | Finale B"
"Maxence Quillere","K1HM","136.56","892.4","812.49","Course n∞2 | Finale B"
"Duncan Coppens","K1HM","138.82","890.52","841.94","Course n∞2 | Finale B"
"Malik Mahe","K1HM","140.19","939.43","859.79","Course n∞2 | Finale B"
"Thomas Le Devehat","K1HM","141.25","907.08","873.6","Course n∞2 | Finale B"
"Nathan Guilleray","K1HM","141.36","908.24","875.04","Course n∞2 | Finale B"
"Timoth… Le Beuvant","K1HM","152.26","950.36","1017.08","Course n∞2 | Finale B"
"Clement Hado","K1HM","156.77","1780.05","1075.86","Course n∞2 | Finale B"
"Nino Laronce Renard","K1HM","157.87","1042.05","1090.19","Course n∞2 | Finale B"
"Florian Manceau","K1HM","158.08","1289.26","1092.93","Course n∞2 | Finale B"
"Nino Lechevallier","K1HM","163.53","1019.8","1163.95","Course n∞2 | Finale B"
"Raphael Herve","K1HM","165.99","1011.63","1196.01","Course n∞2 | Finale B"
"Simon Le Nevez","K1HM","166.74","1896.53","1205.78","Course n∞2 | Finale B"
"Lucas Hado","K1HM","188.1","993.63","1484.14","Course n∞2 | Finale B"
"Loan Beaucourt","K1HM","208.22","1687.87","1746.34","Course n∞2 | Finale B"
"Mewen Coadou","K1HM","210.75","1171.21","1779.31","Course n∞2 | Finale B"
"Jonas Huet","K1HM","237.74","1118.04","2131.04","Course n∞2 | Finale B"
"Yvann Bleunven","K1HM","297.29","1254.91","2907.08","Course n∞2 | Finale B"
"Ewen Ulian","K1HM","Des","-","-","Course n∞2 | Finale B"
"Victor Julou","K1HM","Des","-","-","Course n∞2 | Finale B"
"Noe Bourges","K1HM","Des","-","-","Course n∞2 | Finale B"
