"Sélectif Régional - Aubeterre sur Dronne - 2013-12-08","Course 1","2013-12-08","Régional","114"
"Quentin Lyphout","K1H","96.85","-","296.1",""
"Etienne Chauvin","K1H","97.17","173.71","300.15",""
"Mathieu Cheze","K1H","97.5","154.31","304.31",""
"Corentin Bernard","K1H","100.16","-","337.88",""
"Jordan Rocdunos","K1H","101.16","162.54","350.49",""
"Marc Doreau","K1H","102.82","253.77","371.44",""
"Dylan Sourbe","K1H","103.77","264.67","383.43",""
"Brice Guintard","K1H","103.95","280.68","385.71",""
"Pierre Dehaudt","K1H","104.97","250.35","398.58",""
"Maxime Barrault","K1H","105.13","224.88","400.6",""
"Theo Desvignes","K1H","105.89","243.34","410.18",""
"Thomas Le Gall","K1H","108.34","325.64","441.11",""
"Antoine Delcourt","K1H","108.44","201.52","442.37",""
"Valentin Alliot","K1H","109.02","-","449.69",""
"Romain Poirier","K1H","110.79","350.17","472.02",""
"Tom Hibberd","K1H","111.98","243.08","487.04",""
"Arthur Traquet","K1H","112.73","223.27","496.51",""
"Axel Delage","K1H","112.87","290.87","498.27",""
"David Peigne","K1H","113.54","-","506.73",""
"Valentin Soullard","K1H","113.74","310.95","509.26",""
"Maxime Goursaud","K1H","115.33","-","529.33",""
"Louis Demoulin-petit","K1H","116.17","-","539.92",""
"Axel Gauthard","K1H","117.43","-","555.82",""
"Jeremi Toso","K1H","120.79","-","598.23",""
"Cyril Launay","K1H","121.86","277.12","611.73",""
"Daniel Bregazzi","K1H","123.73","383.66","635.33",""
"Alexandre Nardi","K1H","124.43","472.78","644.17",""
"Wilfried Truffy","K1H","125.62","409.64","659.18",""
"Jean-philippe Brothier","K1H","126.73","-","673.19",""
"Maxime Bouvet","K1H","134.78","834.31","774.78",""
"Frederic Foubert","K1H","135.04","-","778.07",""
"Raphael Jean","K1H","136.5","515.11","796.49",""
"Anthony Bernard","K1H","139.53","-","834.73",""
"Gaetan Cuvillier","K1H","141.19","-","855.68",""
"Antoine Lanet","K1H","141.42","633.2","858.58",""
"Leo Aranda","K1H","145.65","792.34","911.96",""
"Thierry Le Bonniec","K1H","146.88","575.98","927.49",""
"Timothee Megard","K1H","148.54","701.6","948.43",""
"Yves Nicot","K1H","150.21","556.27","969.51",""
"Clement Chadutaud","K1H","153.43","-","1010.15",""
"Julien Moreau","K1H","153.54","-","1011.54",""
"Maurice Pubert","K1H","160.43","640.03","1098.49",""
"Etienne Bennetot","K1H","160.73","-","1102.27",""
"Jonathan Bourdier","K1H","160.85","-","1103.79",""
"Eliott Scamps","K1H","161.49","-","1111.87",""
"Kyllian Berrand","K1H","163.98","-","1143.29",""
"Edouard Paul-hazard","K1H","165.09","-","1157.29",""
"Nour Rajoub","K1H","168.29","-","1197.68",""
"NaËl Rajoub","K1H","168.38","-","1198.82",""
"Bastien Hirat","K1H","174.92","816.36","1281.35",""
"Loick Dubois","K1H","182.44","1086.6","1376.25",""
"Romain Rageau","K1H","190.54","-","1478.49",""
"Armand Vergnault","K1H","191.42","-","1489.59",""
"Jordan Dieusaert","K1H","212.45","749.98","1754.98",""
"Lucas Joubert","K1H","223.46","-","1893.94",""
"Hugo Duponteil","K1H","228.46","558.14","1957.03",""
"Morgan Deneuvy","K1H","230.72","-","1985.56",""
"Adrien Roux","K1H","301.71","-","2881.46",""
"Pierre Dieusaert","K1H","327.06","1383.87","3201.38",""
"ThÉo Didier","K1H","369.38","-","3735.46",""
"Pierre Le Gall","K1H","Nt","-","-",""
"Jules Nicot","K1H","Nt","-","-",""
"Clement Praille","K1H","Nt","-","-",""
