"Championnat Régional de Slalom - Conflans Sur Lanterne - Finale - 2016-05-15","Finale","2016-05-15","Régional","141"
"Alexis Caspar-Charles Fernandes De Oliveira","C2H","126.42","-","651.79","Finale B"
"Titouan Auriol-Dyclan Plessis","C2H","143.29","767.99","866.76","Finale B"
"Yanis Delacour-Martin BraËms","C2H","Abd","-","-","Finale B"
"Marie Hilger","K1D","108.56","349.34","387.5","Finale B"
"Tifenn Primet","K1D","110.6","411.67","412.8","Finale B"
"Brigitte Marechal","K1D","112.57","383.48","437.24","Finale B"
"Maeva Auriol","K1D","115.21","448.47","469.99","Finale B"
"Fiona Gille","K1D","124.43","591.56","584.34","Finale B"
"Maurine Laugel","K1D","125.87","536.74","602.2","Finale B"
"Sarah Rothenbuhler","K1D","133.59","543.49","697.96","Finale B"
"Heloise Pinon","K1D","144.76","-","836.51","Finale B"
"Manon Bucher","K1D","186.62","827.1","1355.74","Finale B"
"Manon Louis","K1D","228.93","1008.26","1880.55","Finale B"
"Audrey Masson","K1DM","235.55","-","1962.66","Finale B"
"Romain Faurie","K1H","83.43","76.66","210.32","Finale B"
"Lucas Latimier","K1H","85.49","158.71","239.19","Finale B"
"Arthur Marraro","K1H","104.18","-","501.16","Finale B"
"Louis Labbe","K1H","104.94","426.79","511.81","Finale B"
"Armand Lombardot","K1H","106.12","485.73","528.35","Finale B"
"Titouan Auriol","K1H","106.67","472.58","536.06","Finale B"
"Maxime Aubertin","K1H","107.22","506.11","543.77","Finale B"
"Julien Carisey","K1H","107.41","519.82","546.43","Finale B"
"Yanis Delacour","K1H","107.56","427.27","548.53","Finale B"
"Jean Pierre Latimier","K1H","108.24","-","558.06","Finale B"
"Kevin Vienny","K1H","119.81","766.29","720.23","Finale B"
"Angelino Castagnetti","K1H","119.93","727.58","721.92","Finale B"
"Anthony Ferreira","K1H","120.55","682.11","730.61","Finale B"
"Alexandre Lambert","K1H","121.2","663.94","739.72","Finale B"
"Charles Billon","K1H","127.93","883.19","834.05","Finale B"
"Martin BraËms","K1H","131.44","-","883.24","Finale B"
"Anthony Dubois","K1H","137.78","995.61","972.11","Finale B"
"Come Champurney","K1H","161.02","570.01","1297.85","Finale B"
"Ludovic Mazimann","K1H","163.93","1092.14","1338.64","Finale B"
"David Monnet","K1H","181.02","-","1578.17","Finale B"
"Joshua Ravet","K1H","188.44","818.15","1682.18","Finale B"
"JÉrÔme BraËms","K1H","216.51","-","2075.62","Finale B"
"Stephane Cassin","K1H","221.91","1862.88","2151.3","Finale B"
"Arnaud Guilleret","K1H","Abd","-","-","Finale B"
"Jonathan Ferreira","K1HM","122.95","-","764.24","Finale B"
"Samuel Tahaafe","K1HM","126.03","-","807.41","Finale B"
"Oscar Pasteur","K1HM","128.67","860.71","844.42","Finale B"
"Hugo Humbrecht","K1HM","139.14","941.82","991.17","Finale B"
"Theophile Vincent","K1HM","148.16","-","1117.6","Finale B"
"Martin Liger","K1HM","Abd","-","-","Finale B"
"Pierre Vincent","K1HM","Abd","-","-","Finale B"
